Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence,Study,Notes,Tags
Left-side asymmetry in cortical and spinal inhibitory circuits in stiff-person syndrome: A case report,Bocek V.; Cvickova B.; Peisker T.; Stetkarova I. ,"Objective: Stiff-person syndrome (SPS) is an autoimmune disease characterized by progressive rigidity and generalized muscle stiffness caused by loss of GABA-ergic inhibition. Diffuse impairment of the GABA-system can be observed by neurophysiological methods. We investigated intracortical and spinal inhibition and correlate these findings with clinical status. Method(s): Fifty-one years old male with a two years history of stiffness and muscle spasms was investigated in our department. Subsequently, we performed EMG, paired TMS and cortical (CoSP) and spinal (CSP) silent periods. Result(s): The patient had 50 times higher serum level of anti-GAD. He suffered from severe lumbar hyperlodosis, hypertrophy of axial muscles, and slightly asymmetrical generalized stiffness more pronounced on the left extremities. EMG discovered continuous involuntary muscle activity. Intracortical short-time inhibition (ICSI) after TMS stimulation was abnormal while stimulated both hemisphere and was more pronounced from the left APB muscle. CoSP and CSP were both abnormally shortened with more shortening when recorded from the left side. Conclusion(s): Our findings confirmed loss of GABA-ergic inhibition in SPS. Involvement of both GABA-A and GABA-B inhibitory circuit systems are present with makeable left-side asymmetry corresponding to clinical status.",2016,/,Clinical Neurophysiology,127,3,e62,,http://dx.doi.org/10.1016/j.clinph.2015.11.205,621899304,1257,Bocek 2016,,
Long-term efficacy of pregabalin in stiff person syndrome,Sofia V.; Reggio E.; Giuliano L.; Fatuzzo D.; Sueri C.; Sciacca G.; Zappia M. ,,2016,/,European Journal of Neurology,23,9,e63-e64,,http://dx.doi.org/10.1111/ene.13084,611710350,1273,Sofia 2016,Karlo Lizarraga (2023-07-01 23:38:07)(Select): Letter to the editor reporting case (with potential for data extraction); ,
Rhabdomyolysis and autoimmune variant stiff-person syndrome,Gangadhara S.; Gandhy C.; Robertson D. ,"Stiff-person syndrome (SPS) is a rare neurologic disorder characterized by waxing and waning muscular rigidity, stiffness and spasms. Three subtypes have been described: paraneoplastic, autoimmune and idiopathic. Rhabdomyolysis has been described in the paraneoplastic variant, but to our knowledge no case has been reported involving the autoimmune variant. We report a case report of a 50-year-old man with history of SPS who presented with recurrent episodes of severe limb and back spasms. He was hospitalized on two separate occasions for uncontrollable spasms associated with renal failure and creatinine phosphokinase elevations of 55,000 and 22,000 U/L respectively. Laboratory tests were otherwise unremarkable. The acute renal failure resolved during both admissions with supportive management. Rhabdomyolysis has the potential to be fatal and early diagnosis is essential. It should be considered in patients who have SPS and are experiencing an exacerbation of their neurologic condition.Copyright © S. Gangadhara et al., 2016.",2016,/,Clinics and Practice,6,4,117-118,,http://dx.doi.org/10.4081/cp.2016.885,613529961,1281,Gangadhara 2016,,Clinical manifestations
"A unique combination of autoimmune limbic encephalitis, type 1 diabetes, and Stiff person syndrome associated with GAD-65 antibody",Sharma C.M.; Pandey R.K.; Kumawat B.; Khandelwal D.L.; Gandhi P. ,"Antibodies to GAD-65 have been implicated in the pathogenesis of type 1 diabetes , limbic encephalitis and Stiff person syndrome, however these diseases rarely occur concurrently. We intend to present a rare case of 35 year old female who was recently diagnosed as having type 1 diabetes presented with 1 month history of recurrent seizures, subacute onset gait ataxia, dysathria, psychiatric disturbance and cognitive decline. No tumor was found on imaging and the classic paraneoplastic panel was negative. Cerebrospinal fluid and blood was positive for GAD-65 antibodies.Patient showed significant improvement with immunomodulatory therapy. Association of GAD-65 antibodies has been found with various disorders including type 1 diabetes, limbic encephalitis, Stiff person syndrome,cerebellar ataxia and palatal myoclonus.This case presents with unique combination of type 1 diabetes, Stiff person syndrome and limbic encephalitis associated with GAD-65 antibodies that is responsive to immunotherapy. It also highlights the emerging concept of autoimmunity in the causation of various disorders and there associations.Copyright © 2006 - 2016 Annals of Indian Academy of Neurology  Published by Wolters Kluwer - Medknow.",2016,/,Annals of Indian Academy of Neurology,19,1,146-149,,http://dx.doi.org/10.4103/0972-2327.165462,608489107,1291,Sharma 2016,,
Anesthetic management for a patient with stiff-person syndrome,Nakamura K.; Murao K.; Kimoto-Shirakawa M.; Takahira K.; Toorabally F.; Shingu K. ,"The stiff-person syndrome (SPS) is a rare autoimmune neurologic disorder that affects the gamma-ami-nobutyric acid (GABA) mediated inhibitory network in the central nervous system with anti-glutamic acid decarboxylase (GAD) antibodies. SPS is characterized by muscle rigidity and painful episodic spasms in axial and lower limb muscles. This case report describes successful peri-operative management of a 61-year-old female (height 158 cm ; weight 60 kg, ASA-PS 2) with her right upper arm fracture who was scheduled for open reduction and internal fixation. This patient had bulbar paralysis, dysphagia and muscle rigidity associated with a high titer of anti-GAD auto antibodies (2,800 U . ml-1). She was diagnosed as SPS and has been treated with predonisolone (30 mg . day-1) and diazepam (20 mg . day-1) for 1 year. Predonisolone (15 mg) and diazepam (30 mg) was given orally before induction of general anesthesia with propofol, remifentanil and rocuronium bromide. Posture change from supine to beach-chair position led to sudden drop in blood pressure to 38/25 mmHg, which recovered promptly by injecting intravenous ephedrine hydrochloride (28 mg) and hydrocortisone (100 mg). Postanesthetic course was uneventful without postoperative neurologic abnormalities.",2016,/,Japanese Journal of Anesthesiology,65,2,164-167,,,609098911,1297,Nakamura 2016,,
Stiff person syndrome with pyramidal signs,Nalbantoglu M.; Battal H.; Kiziltan M.E.; Akalin M.A.; Kiziltan G. ,,2016,/,Noropsikiyatri Arsivi,53,2,188-190,,http://dx.doi.org/10.5152/npa.2015.11310,610608778,1298,Nalbantoglu 2016,,
Stiff leg syndrome after epidural anesthesia,Perez-Sanchez J.R.; Contreras Chicote A.; Gutierrez-Ruano B.; De La Casa-Fages B.; Traba A.; Grandas F. ,,2016,/,European Journal of Neurology,23,4,e22-e23,,http://dx.doi.org/10.1111/ene.12923,609402351,1311,Perez-Sanchez 2016,"Bettina Balint (2023-08-28 19:01:35)(Select): Critical review warranted, but relevant for DDx; ",
Progressive encephalomyelitis with rigidity and myoclonus (PERM): Brucellosis as a possible triggering factor and long-term follow-up therapy with rituximab,Magira E.E.; Alexopoulos H.; Charitatos E.; Michas D.; Dalakas M.C. ,,2016,/,Therapeutic Advances in Neurological Disorders,9,1,69-73,,http://dx.doi.org/10.1177/1756285615614812,607364700,1326,Magira 2016,,Clinical manifestations; Treatment
Pediatric stiff-person syndrome with renal failure,Kumar M.V.; Savida P. ,"Stiff-person syndrome (SPS) is an autoimmune neuronitis with progressive myoclonus and stiffness. It is a rare but treatable disorder with few case reports in children. SPS is due to autoantibodies against the enzyme glutamic acid decarboxylase which is present in neuronal and nonneuronal tissues. This is the case report of an 8-year-old boy with clinical and investigational features suggestive of SPS with associated myoglobin-induced renal failure, who completely recovered with treatment.",2016,/,Journal of Neurosciences in Rural Practice,7,1,147-149,,http://dx.doi.org/10.4103/0976-3147.165352,607722586,1327,Kumar 2016,,
Stiff face syndrome associated with glycine receptor antibodies,Gadian J.; Lascelles K.; Lim M. ,"Objective: We present the case and videos of a boy with severe stimulus sensitive spasms primarily affecting the face, and associated with glycine receptor antibodies (GlyR-Ab) tested at the Nuffield neuroimmunology laboratory, Oxford using immunofluorescence cell-based assay. Case report: A 4 year old boy presented with facial asymmetry, confusion, arm and leg rigidity, and intermittent severe stimulus sensitive dystonic spasms of the limbs and mouth initially diagnosed as trismus; predated by 3 weeks of mandibular spasms whilst eating (Video 1). Clinical examination revealed hyperekplexia (Video 2). Initial CSF analysis and neuroimaging were normal. The dystonic episodes worsened despite clonidine and benzodiazepines, and he required PICU admission due to severe facial spasms. EEG showed encephalopathy, repeat neuroimaging was unremarkable and an ultrasound excluded neoplasia. He was treated with intravenous immunoglobulin (IVIG;2 g/kg), and after infective aetiology was excluded, antibiotics were discontinued and he received high dose methylprednisolone (30 mg/kg/day for 5 days) followed by oral prednisolone. He dramatically improved (Video 3) over the following 2 weeks, and was discharged on maintenance oral steroids (2 mg/kg/ day). GlyR-Ab were detected in the serum and oligoclonal bands in the CSF. Discussion(s): Stiff person syndrome is a spectrum of disorders characterised by spinal cord hyperexcitability, with rigidity primarily of the lower limbs and trunk, stimulus-sensitive spasms, myoclonus, autonomic dysfunction and hyperekplexia. Its more severe variant, progressive encephalitis with rigidity and myoclonus (PERM), is characterised by more widespread features including brainstem involvement or sensory symptoms, and GlyR-Ab have been identified in these patients (Carvajal-Gonzalez et al., Brain,2014;137(Pt 8):2178-92). The detection of GlyR-Ab presents the possibility that, in common with other antibody-associated conditions, PERM is amenable to immunotherapy. Conclusion(s): We present, to our knowledge, the first case of stimulus sensitive spasms affecting primarily the face, and propose that ""Stiff face syndrome"" is an important feature of this under-recognised and treatable syndrome.",2017,/,Developmental Medicine and Child Neurology,59,Supplement 1,10-Nov,,http://dx.doi.org/10.1111/dmcn.13346,614879217,1332,Gadian 2017,,Clinical manifestations
Glycine antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM): A paediatric presentation,Kariyawasam D.S.T.; Hildebrand D.; Jayawant S.; Palace J.; Leite M.I.; Ramdas S. ,"Objectives: We present a unique case of glycine receptor antibody (GlyR-Ab) mediated progressive encephalomyelitis associated with rigidity and myoclonus (PERM) in a child with autoimmune polyglandular syndrome type 1 (APS1), initially masquerading as ocular myasthenia gravis. Method(s): Retrospective review of patient notes and relevant literature search. Result(s): A 15 year-old boy, with genetically confirmed APS1 (with several autoimmune conditions from the age of 7 years: hypoparathyroidism, type 1 diabetes, Addison's disease and alopecia), presented with acute onset variable bilateral ptosis and diplopia, worse on waking. On examination he had bilateral incomplete ptosis, horizontal and vertical nystagmus with left lateral gaze palsy. A diagnosis of ocular myasthenia gravis was suspected, however, tensilon test, single-fibre EMG and repetitive nerve stimulation, acetylcholine receptor and MUSK antibodies were negative. MRI brain and spine were normal. A trial of pyridostigmine was ineffectual. Two months later, he started experiencing skin itching, stiff neck, mild bulbar symptoms, and bladder and bowel difficulties. Further review revealed decreased palatal and tongue movements, neck rigidity, dysarthria, and very brisk deep tendon reflexes with normal plantar response. Myoclonic jerks were elicited on tactile stimulation, particularly in the face. There were no other abnormal neurological signs. Due to the clinical features constellation, a diagnosis of a GlyR-Ab-associated pathology deemed very likely. Subsequently, serum and cerebrospinal fluid GlyR-Abs were positive, with no evidence of other neuronal surface antibodies. A 5-day course of IVIG improved partially ocular manifestations, and, more significantly, myoclonus, neck rigidity, bulbar dysfunction and urinary urgency. Conclusion(s): (1) PERM associated with GlyR Abs has been well described, especially in adult population, whereas it is very rare in paediatrics. (2) As in adult cases, clinical presentations with eye signs may mimic ocular myasthenia. (3) PERM may be added to the list of the autoimmune manifestations associated with APS1.",2017,/,Developmental Medicine and Child Neurology,59,Supplement 1,59,,http://dx.doi.org/10.1111/dmcn.13347,614879422,1333,Kariyawasam 2017,,
Visual Dysfunction and Retinal Pathology occurs in Stiff-Person Syndrome,Rothman A.; Shoemaker T.; Prince J.; Saidha S.; Calabresi P.; Newsome S. ,"Objective: To assess structural and functional changes in the afferent visual system of patients with Stiff-Person Syndrome (SPS). Background(s): SPS is a rare neuroimmunological disorder characterized by progressive rigidity and painful muscle spasms. The majority of patients exhibit autoantibodies directed against glutamic acid decarboxylase(GAD); a ubiquitous enzyme found throughout the nervous system. SPS patients often have visual complaints which are commonly overlooked/under-recognized and therefore have not been evaluated in SPS. Design/Methods: Forty SPS patients and matched healthy controls underwent Cirrus HD-OCT, and a subset of 30 patients and matched controls underwent 100%, 2.5% and 1.25%-contrast letter-acuity testing. An automatic macular segmentation method was used to compute the combined thickness of the ganglion cell+inner plexiform layer (GCIP). Mixed effects linear regression models were used to investigate whether retinal layer thicknesses and visual function differed between SPS and controls. AAN.COM Results: The SPS cohort was slightly older than controls, although not significantly (mean difference=3 years; p=0.17), and had a mean modified Rankin scale of 2.0 (SD=0.66). Adjusting for age and a history of diabetes, the mean retinal thickness values were significantly lower in the SPS cohort (mean difference=5.1 urn; p=0.004), which appears to be driven by a thinned GCIP layer thickness (mean difference=1.9 urn; p=0.012). SPS patients exhibited lower visual acuity on 100%, 2.5% and 1.25% contrast letter-acuity charts (mean difference=4.3 letters, 5.8 letters and 5.0 letters; p=0.002, p=0.009 and p=0.031, respectively). Moreover, SPS patients without a history of diabetes exhibited significantly thinner GCIP layer thicknesses (p=0.05), and significantly worse visual acuity on high contrast, 2.5% contrast and 1.25% contrast charts (mean differences= 6.2, 6.4 and 5.4 letters; p=0.001, p=0.003, p=0.026, respectively) compared to controls. Conclusion(s): SPS patients have mild visual dysfunction compared to healthy controls, as well as thinned GCIP layers. These findings suggest that SPS may cause retinal neuronal pathology, possibly resulting from an autoimmune retinopathy.",2017,/,Neurology,88,16 Supplement 1,,,,616550611,1337,Rothman 2017,,
Anti-GAD65 antibody testing at a tertiary care center,Vodopivec I.; Loomis A.; Baron J.; Cho T.; Bhattacharyya S. ,"Objective: To characterize the utility and yield of glutamic acid decarboxylase antibodies (anti-GAD65) testing and to analyze the associated diagnoses, management, and prognosis in seropositive patients. Background(s): Anti-GAD65 antibodies are associated with a spectrum of neurological syndromes and diabetes mellitus type 1 (DM1). Prior research suggests that anti-GAD65 at high titers are highly specific for stiff-person syndrome (SPS) and cerebellar ataxia (CA). Design/Methods: Retrospective review of anti-GAD65 tests ordered between January 2007 and July 2015 at a tertiary care center. Anti-GAD65 titers were classified as low (<1:600 or <20 nmol/L) or high (>1:1200 or >20 nmol/L). For the seropositive patients we collected demographics, medical history, presenting symptoms, clinical course, clinician's preliminary and final diagnosis, relevant laboratory evaluations, EEG, neuroimaging, management, and prognosis. Result(s): A total of 403 patients were evaluated, of whom 37 (9%) were found to be anti-GAD65 positive (age 9-81 years, 20 women). Five patients had high anti-GAD65 titers. Each of the 5 patients had a different diagnosis: SPS, CA with stiff-limb syndrome, steroid-responsive encephalopathy dominated by behavioral abnormalities, DM1, and mild parkinsonism with saccadic intrusions. Of the 32 patients with low anti-GAD65 titers, 4 had a neurological syndrome associated with another anti-neuronal antibody (anti-NMDAR, anti-Hu, anti-VGKC, and anti-amphiphysin), one had limbic encephalitis, one had steroid-responsive encephalopathy with associated thyroiditis [thyroid peroxidase antibody >1000 lU/mL (ref. <35 IU/mL)], one had Sjogren syndrome-associated neuronopathy, 4 had primary or secondary CNS malignancy, 8 had DM1, and 13 had non-inflammatory neurological conditions. A new malignancy was diagnosed only in the 2 patients with anti-Hu and anti-amphiphysin antibodies. Conclusion(s): Anti-GAD65 antibody-associated neurological syndromes are rare. Only 3 of the 5 patients with high-titer anti-GAD65 had a related autoimmune neurological disorder.",2017,/,Neurology,88,16 Supplement 1,,,,616550813,1339,Vodopivec 2017,"Natalie Witek (2021-10-13 05:21:07)(Select): Review of cases at the hospital, may have patient level data; ",
Seronegative progressive encephalomyelitis with rigidity and myoclonus (PERM),Khalid E.; Estevez-Ordonez D.; Lavin P. ,"Objective: Tactile startle is an uncommon manifestation that localizes to the brainstem. It occurs in pediatric epileptic patients predominantly, but can occur in adults with brainstem disease such as infection, inflammation, and neurodegeneration. Our patient presented with multiple cranial neuropathies and an exaggerated tactile startle response. Background(s): N/A Design/Methods: A 75-year-old man with a remote history of carcinoid lung cancer, and renal cell carcinoma, presented with progressive dysphagia, dysarthria and alternating facial weakness for about 2 weeks. He noticed abnormal tongue sensation and dysarthria. A video swallowing study demonstrated oropharyngeal dysphagia. He had progressive fatigue, left facial dysesthesia, and frequent brisk startle responses to facial stimulation. He had no fever or weight loss. He developed episodes of tachypnea with oxygen desaturation, episodes of tachycardia-bradycardia, then a cardiac arrest responding to CPR. Subsequently, he developed ophthalmoplegia, pyramidal extremity weakness, transient hyponatremia responding to fluid restriction, and then stiffness in his lower limbs. Contrasted brain MRI, LP with cytology and flow cytometry, paraneoplastic panel, and HIV testing were negative. Sedimentation rate 78, C-reactive protein 23.3, and serum protein electrophoresis detected monoclonal bands IgG Lambda type. PET scan demonstrated focal mediastinal lymph nodes uptake. Bronchoscopy with biopsy confirmed small cell lung carcinoma. He received IVIG and high-dose steroids with no response. He began chemotherapy with a plan for radiation of the abnormal mediastinal glands. Result(s): N/A Conclusion(s): The spectrum of paraneoplastic disorders, particularly affecting the nervous system, is expanding rapidly with the discovery of new antibodies. Because the sensitivity of paraneoplastic antibody testing is low (sensitivity 34%, specificity 86%) neurologists must be aware of, and be vigilant for, such syndromes that often require total body imaging to uncover the offending neoplasm.",2017,/,Neurology,88,16 Supplement 1,,,,616551624,1340,Khalid 2017,Natalie Witek (2021-10-13 06:32:22)(Select): AB neg; ,Immunological - Lab tests
Prodromal stiffperson syndrome: Two cases of antibody detection over a decade after symptom onset,Piquet A.; O'Donnell S.; Greenlee J.; Warner J.; Clardy S. ,"Objective: We report two patients who were diagnosed with stiff person syndrome (SPS) after several years of other neurological symptoms. In each case, prior antibody testing was repeatedly negative. Patient 1 developed high-titer glutamic acid decarboxylase-65 (GAD65) antibodies many years subsequent to symptom onset. Patient 2 had a multi-year evolution of visual and neurologic symptoms and was ultimately found to have glycine receptor (GlyR) antibodies after the advent of testing. Background(s): SPS is a rare neurological disorder characterized by progressive muscle stiffness and painful spasms. Several variants of SPS have been described, representing a spectrum of severity, ranging from symptoms in only one limb to progressive encephalomyelitis with rigidity, myoclonus or other symptoms. Known antibodies associated with SPS spectrum disorder include GAD65 and GlyR. Design/Methods: Case series and literature review. Result(s): Patient 1 is a 50 year old male with a progressive 16 year history of neck and shoulder muscle spasms, pain, and several episodes of cramping daily. Patient 2 is a 50 year old female with 13 years of visual distortions and subsequent progression to cognitive symptoms, epilepsy and muscle spasms. Both patients were followed for several years prior to the onset of a classical SPS phenotype. Patient 1 had a slow but dramatic increase in GAD65 antibody (GlyR negative) over the recent 2 year period. Patient 2 was found to have GlyR antibody positivity (GAD65 negative). Conclusion(s): This case series underscores the importance of documenting objective abnormalities and maintaining long-term monitoring in patients with suspected SPS spectrum disorder, especially seronegative patients. SPS patients can present with seemingly atypical symptoms prior to the onset of the classical phenotype. The seronegative SPS population is especially at risk of misdiagnosis and under treatment, and seronegative patients should be retested periodically for the presence of newly discovered antibodies.",2017,/,Neurology,88,16 Supplement 1,,,,616551670,1341,Piquet 2017,,
Case control analysis of glycine receptor autoimmunity,Lopez-Chiriboga A.S.; Hinson S.; Bower J.; Matsumoto J.; Hassan A.; Basal E.; Lennon V.; Pittock S.; McKeon A. ,"Objective: To report our experience with an in-house developed cell-based assay for IgG antibody targeting the alpha-1 subunit of glycine receptor (GlyRa1) among patients and control subjects. Background(s): GlyRa1antibody is a biomarker of spinal and brainstem hyperexcitability (stiff-person spectrum [SPS] disorders) which includes classical SPS, limited SPS (e.g. stiff-limb), progressive encephalomyelitis with rigidity and myoclonus (PERM) and hyperekplexia. Design/Methods: HEK293 cells were transfected with a plasmid encoding GlyRa1subunit or were non-transfected and exposed to serum or CSF. Patients (n=20) were GlyRa1antibody positive from physician requests (2013-2016). Controls (n=240 total) were subjects with serum (n=190: 100 healthy adults; 40 healthy children; 50 patients with nonorgan specific immunopathies) or CSF (n=50: 30 adults with normal pressure hydrocephalus; 20 children with hereditary neurological disorders). Result(s): GlyRa1 antibody positivity was found in none of the CSF controls and 8 of 190 serum controls (4%: 5 healthy, 2 with polyclonal hypergammaglobulinemia and 1 with SLE). Of the 20 patients, 1 had a functional neurological disorder (GlyRa1 antibody positive in serum only). The remaining 19 patients had organic SPS spectrum disorders. Ten were male, median age of symptom onset was 51 years. Six patients had GAD65 antibody coexisting (median value: 60.2 nmol/L; range, 0.04-3861). GlyRa1-IgG was detected in serum in 18/19 patients (3/11 were also positive in CSF) and in CSF alone in 1 patient. Phenotypes included PERM (8), SPS (5), stiff-limb (5), and hyperekplexia (1). Neuropsychiatric symptoms (anxiety only [10], anxiety and depression [5], and cognitive dysfunction [3]) coincided with SPS symptoms in 50% of patients. Neoplasms were identified in 4 patients: thymoma (2); Hodgkin lymphoma (1) and ovarian adenocarcinoma (1). Objective neurologic improvement occurred in 15/17 immunotherapy-treated patients (88%), although 2 with PERM died. Conclusion(s): In the context of SPS spectrum disorders, GlyRa1antibody is a biomarker of an immunotherapy- responsive neurological disease.",2017,/,Neurology,88,16 Supplement 1,,,,616551909,1343,Lopez-Chiriboga 2017,"Karlo Lizarraga (2021-10-14 05:57:19)(Select): Conference paper with potential for data extraction:
https://n.neurology.org/content/88/16_Supplement/P5.125; ",
Stiff person syndrome masquerading as more common movement disorders,Stone D.; Kaye L.; Wicklund M.; Malaty I. ,"Objective: To report two cases of stiff-person syndrome (SPS) initially presenting as more common movement disorders. Background(s): SPS is a rare disorder characterized by progressive muscle stiffness, spasms, and rigidity that may ultimately result in severe disability. Most cases are caused by antibodies to glutamic acid decarboxylase (GAD), with resultant disruption of GABA synthesis and impairment of inhibitory pathways in the central nervous system. Most commonly, cases present with thoracolumbar and abdominal muscle spasms. However, variants are increasingly appreciated, leading to the term ""stiff person plus"" to span more focal-onset stiff limb syndrome and other more diverse presentations. Design/Methods: Case report Results: We present two cases of SPS that initially presented with features of more common movement disorders. One patient presented with progressive gait difficulty following a GI illness and was noted to have a subtle dystonia of his right hand. His symptoms progressed to generalized parkinsonism, but was unresponsive to levodopa, leading to consideration of a corticobasal syndrome. He developed disabling rigidity with painful paraspinous muscle spasms, rendering him bed bound. Further work-up revealed markedly elevated serum anti-GAD antibody (210; normal< 0.02 nmol/L), and CSF studies revealed 9 oligoclonal bands and elevated IgG index. Another patient initially presented with foot dystonia. She was evaluated for Wilson's disease and treated with onabotulinum toxin injections. In fact, psychogenic etiology was entertained. She continued to worsen and was eventually found to have elevated serum anti-GAD antibody (328; normal<1.0 U/ml) consistent with stiff limb syndrome. Her symptoms gradually generalized and she developed fixed ankle contractures and joint deformities. Conclusion(s): SPS may present with features mimicking more common movement disorders. A high index of suspicion is needed in patients with unusual abnormal tone or movements. More research is needed to understand the inciting factors leading to autoimmunity and the variability in clinical presentation and response to therapies.",2017,/,Neurology,88,16 Supplement 1,,,,616555858,1344,Stone 2017,,
Stiff-person syndrome with cerebellar manifestations and foot deformities,Chu C.-I.; Hsueh I.-H.; Cheng S.-J. ,"Summary Stiff-person syndrome (SPS) is a disabling disorder of the central nervous system that is characterized by episodic rigidity and spasticity. We report the case of a woman who had SPS with cerebellar manifestations (SPS-Cer) and asymmetric deformed feet. SPS-Cer is a rare phenotype that has a poor prognosis for improvement of cerebellar function, even after adequate treatment. © 2013, Taiwan Society of Geriatric Emergency & Critical Care Medicine. Published by Elsevier Taiwan LLC. All rights reserved.",2013,/,International Journal of Gerontology,7,3,177-178,,http://dx.doi.org/10.1016/j.ijge.2013.03.004,52558685,1363,Chu 2013,,
Stiff person syndrome with negative anti-GAD65 antibodies. Case report,Roman-Filip C.; Radu D.; Ungureanu A.; Deaconu A.; Pereanu M. ,"We present a case of 42-year-old woman without significant medical history, admitted in our clinic for painful neck stiffness, aggravated by emotions and stress relieved during sleep, accompanied by sweating, predominantly lower limbs weakness. The symptoms insidiously appeared one month prior presentation. On neurological examination we found painful paravertebral and laterocervical muscle contracture and spastic paraparesis. Laboratory tests included the analysis of anti-glutamic acid decarboxylase (anti-GAD65) and anti-Borrelia antibodies, carcinoma antigens (CA 125, CA 15-3) which were found negative. Cerebrospinal fluid analysis found positive oligoclonal bands with a slight increase of IgG component. Other tests including thyroid function were found normal. Brain and spinal MRI examinations showed no changes. Methylprednisolone, baclofen and carbamazepine were administered without a significant improvement. After 4 months from the first admission, the patient returns with increased symptoms for which plasma exchange achieved a slight improvement of motor deficit and rigidity. Stiff person syndrome is thought to be triggered by anti-GAD antibodies that limit the GABA receptor activity, although about 10 to 40% of the patients do not shows these antibodies in the serum.",2013,/,Romanian Journal of Neurology/ Revista Romana de Neurologie,12,3,156-159,,,369858909,1372,Roman-Filip 2013,,
Determination of antibodies to GAD67 and other antigens in patients with GAD65 antibody-associated syndromes,Gresa-Arribas N.; Arino H.; Sabater L.; Caballero E.; Alba M.; Martinez-Hernandez E.; Petit M.; Saiz A.; Dalmau J.; Graus F. ,"Objectives: To determine the repertoire of antibodies in a large cohort of patients with GAD65 antibody-associated syndromes. Background(s): High titer antibodies against GAD65 have been described in a variety of disorders, including cerebellar ataxia (CA), stiff-person syndrome (SMS), and limbic encephalitis/seizures (LE). This variety of phenotypes has suggested that differences of GAD65-antibody titers and/or co-existing autoimmunities may be present in these patients. Method(s): 109 patients with GAD65-antibody-associated syndromes (40 CA, 32 SMS and 37 LE cases) were included in the study. The presence of GAD65-antibodies was confirmed with immunohistochemistry of rat cerebellum, and ELISA or a cell-based assay (CBA). GAD67-antibodies were determined by a CBA, and antibodies to neuronal cell-surface antigens were examined with immunofluorescence with cultured hippocampal neurons and antigen-specific CBA (NMDAR, GABAaR, GABAbR, GlyR). Result(s): GAD67-antibodies were identified in 82/109 (75%) patients with anti-GAD65 associated syndromes. There was a correlation between the presence of higher titers of GAD65-antibodies and the presence of GAD67-antibodies (p=0.0054). All clinical phenotypes associated with a similar range of GAD65-antibody titers. In all patients the GAD65-antibodies recognized linear epitopes (visible by immunoblot). Thirteen patients had co-existing cell surface antibodies: 5 GlyR, 5 GABAaR, 1 GABAb receptor, and 1 NMDA receptor. The presence of cell surface antibodies was more frequent in patients with LE (7/37, 19%) compared with patients with CA (4/40, 10%) or SMS (2/32, 6%). Conclusion(s): 75% of patients with GAD65-antibody-associated syndromes have GAD67-antibodies. The association of GAD67-antibodies with LE has not been previously reported. The variety of phenotypes occurring in association with GAD65-antibodies cannot be explained by differences in GAD65-antibody titers (similar range in all phenotypes) or the presence of GAD67-antibodies. In a subset of patients with LE the clinical picture is likely related to coexisting and more relevant antibodies to cell-surface antigens.",2014,/,Neurology,82,10 SUPPL. 1,,,,71468073,1381,Gresa-Arribas 2014,Karlo Lizarraga (2023-07-01 11:36:38)(Select): Conference abstract; ,Clinical manifestations; Electrophysiology; Immunological - Lab tests; Treatment
"Clinical manifestations, imaging findings, and immunomodulatory therapeutic strategies for three patients with concurrent stiff person syndrome and cerebellar ataxia due to Anti-GAD antibodies: A case series",DeNiro L.; Graber J.; Geyer H.; Boro A. ,"OBJECTIVE:To describe three patients with concurrent Stiff Person Syndrome (SPS) and Cerebellar Ataxia (CA) with anti-GAD antibody, which evolved over time.BACKGROUND:Anti-GAD antibodies are associated with SPS and CA. They rarely occur concurrently. MRI findings are usually normal or cerebellar atrophy. IVIG usually improves SPS but treatment for CA is less certain.DESIGN/METHODS:1) 56 year old female diagnosed with SPS at 53, which improved with IVIG. Three years later, she developed unilateral cerebellar tremor, nystagmus and dysarthria. IVIG helped her SPS, but not CA. Rituximab produced improvement in only CA. Initial MRI showed cerebellar T2 abnormality. Repeat MRI showed cerebellar atrophy. Anti-GAD antibody 101.7 U/ml.2) 29 year old female with Graves' disease and pernicious anemia. At 24 she developed gait imbalance and dysarthria and was diagnosed with CA which required no treatment. Five years later, she developed SPS. SPS, but not CA, responded to IVIG. MRI showed cerebellar atrophy. Anti-GAD antibody 113.2 U/ml.3) 27 year old female with intractable seizures at 18 treated with temporal lobectomy. At 24 she had new limb stiffness. One year later, while receiving IVIG, she developed left cerebellar tremor and nystagmus. Her SPS, but not CA, responded to IVIG. MRI showed temporal lobectomy and FLAIR hyperintensity in the left putamen and left frontal region. Anti-GAD antibody 116.2 U/ml. RESULT(S): We describe three patients in whom CA and SPS evolved over time with anti-GAD antibody. Two had cerebellar atrophy and two had nonspecific T2 lesions. All three were treated with IVIG which improved SPS but not CA. One patient received Rituximab with improvement in CA but not SPS. CONCLUSION(S): SPS and CA may occur concurrently and evolve over time in patients with anti-GAD even while on treatment. SPS and CA may respond differentially to IVIG and Rituximab.",2014,/,Neurology,82,10 SUPPL. 1,,,,71468205,1382,DeNiro 2014,,
